Case_ID,Case_Text,Case_Type,Favor_Result
2375,Illegal possession over commercial land involving the state government filed in district court.,Land Dispute,Petitioner
2376,Boundary dispute over agricultural land between two private parties filed in district court.,Land Dispute,Petitioner
2377,Survey number mismatch over government land against a private company filed in district court.,Land Dispute,Respondent
2378,Title deed forgery over residential land against local municipality filed in district court.,Survey Error,Petitioner
2379,Survey number mismatch over government land against a private company filed in district court.,Survey Error,Government
2380,Boundary dispute over residential land involving the state government filed in district court.,Survey Error,Respondent
2381,Title deed forgery over private property involving the state government filed in district court.,Ownership Conflict,Petitioner
2382,Survey number mismatch over commercial land against a private company filed in district court.,Land Dispute,Government
2383,Illegal possession over residential land between two private parties filed in district court.,Ownership Conflict,Government
2384,Title deed forgery over private property involving the state government filed in district court.,Survey Error,Government
2385,Title deed forgery over agricultural land against local municipality filed in district court.,Ownership Conflict,Petitioner
2386,Boundary dispute over private property against a private company filed in district court.,Land Dispute,Respondent
2387,Ownership conflict over residential land against a private company filed in district court.,Ownership Conflict,Respondent
2388,Survey number mismatch over residential land against a private company filed in district court.,Ownership Conflict,Petitioner
2389,Survey number mismatch over government land against a private company filed in district court.,Land Dispute,Government
2390,Ownership conflict over residential land against a private company filed in district court.,Survey Error,Respondent
2391,Survey number mismatch over private property against local municipality filed in district court.,Land Dispute,Petitioner
2392,Survey number mismatch over private property involving the state government filed in district court.,Survey Error,Government
2393,Survey number mismatch over agricultural land against a private company filed in district court.,Land Dispute,Respondent
2394,Title deed forgery over government land against local municipality filed in district court.,Ownership Conflict,Petitioner
2395,Survey number mismatch over agricultural land involving the state government filed in district court.,Ownership Conflict,Petitioner
2396,Illegal possession over residential land against a private company filed in district court.,Land Dispute,Respondent
2397,Ownership conflict over private property against a private company filed in district court.,Survey Error,Respondent
2398,Title deed forgery over private property against a private company filed in district court.,Survey Error,Respondent
2399,Boundary dispute over private property between petitioner and respondent filed in district court.,Land Dispute,Government
2400,Boundary dispute over agricultural land against a private company filed in district court.,Survey Error,Respondent
2401,Ownership conflict over private property involving the state government filed in district court.,Ownership Conflict,Petitioner
2402,Boundary dispute over private property between two private parties filed in district court.,Survey Error,Government
2403,Ownership conflict over agricultural land involving the state government filed in district court.,Land Dispute,Petitioner
2404,Boundary dispute over commercial land involving the state government filed in district court.,Land Dispute,Respondent
2405,Illegal possession over government land against local municipality filed in district court.,Land Dispute,Respondent
2406,Title deed forgery over government land against a private company filed in district court.,Ownership Conflict,Petitioner
2407,Survey number mismatch over commercial land between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
2408,Survey number mismatch over residential land between petitioner and respondent filed in district court.,Ownership Conflict,Government
2409,Title deed forgery over agricultural land between petitioner and respondent filed in district court.,Ownership Conflict,Government
2410,Survey number mismatch over residential land between two private parties filed in district court.,Survey Error,Government
2411,Boundary dispute over agricultural land between petitioner and respondent filed in district court.,Ownership Conflict,Respondent
2412,Boundary dispute over residential land between petitioner and respondent filed in district court.,Survey Error,Government
2413,Title deed forgery over government land between petitioner and respondent filed in district court.,Survey Error,Respondent
2414,Ownership conflict over commercial land against local municipality filed in district court.,Ownership Conflict,Petitioner
2415,Survey number mismatch over residential land between petitioner and respondent filed in district court.,Land Dispute,Respondent
2416,Survey number mismatch over agricultural land between two private parties filed in district court.,Ownership Conflict,Petitioner
2417,Ownership conflict over residential land between two private parties filed in district court.,Survey Error,Petitioner
2418,Survey number mismatch over private property against local municipality filed in district court.,Land Dispute,Petitioner
2419,Ownership conflict over government land against a private company filed in district court.,Survey Error,Government
2420,Survey number mismatch over commercial land between petitioner and respondent filed in district court.,Survey Error,Respondent
2421,Ownership conflict over commercial land against local municipality filed in district court.,Survey Error,Respondent
2422,Illegal possession over residential land against a private company filed in district court.,Survey Error,Government
2423,Title deed forgery over commercial land between two private parties filed in district court.,Ownership Conflict,Petitioner
2424,Title deed forgery over private property against local municipality filed in district court.,Survey Error,Petitioner
2425,Boundary dispute over agricultural land against a private company filed in district court.,Land Dispute,Respondent
2426,Boundary dispute over government land against local municipality filed in district court.,Land Dispute,Government
2427,Title deed forgery over residential land against local municipality filed in district court.,Land Dispute,Petitioner
2428,Boundary dispute over residential land against a private company filed in district court.,Ownership Conflict,Respondent
2429,Survey number mismatch over residential land between two private parties filed in district court.,Land Dispute,Petitioner
2430,Boundary dispute over residential land involving the state government filed in district court.,Survey Error,Petitioner
2431,Illegal possession over commercial land against a private company filed in district court.,Ownership Conflict,Petitioner
2432,Boundary dispute over agricultural land between two private parties filed in district court.,Ownership Conflict,Government
2433,Illegal possession over private property against local municipality filed in district court.,Land Dispute,Government
2434,Ownership conflict over commercial land involving the state government filed in district court.,Ownership Conflict,Respondent
2435,Boundary dispute over commercial land involving the state government filed in district court.,Survey Error,Respondent
2436,Survey number mismatch over commercial land involving the state government filed in district court.,Survey Error,Petitioner
2437,Illegal possession over commercial land involving the state government filed in district court.,Survey Error,Petitioner
2438,Survey number mismatch over government land between petitioner and respondent filed in district court.,Ownership Conflict,Government
2439,Illegal possession over agricultural land against a private company filed in district court.,Ownership Conflict,Government
2440,Title deed forgery over residential land between two private parties filed in district court.,Ownership Conflict,Petitioner
2441,Illegal possession over agricultural land involving the state government filed in district court.,Ownership Conflict,Government
2442,Boundary dispute over commercial land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
2443,Ownership conflict over private property between petitioner and respondent filed in district court.,Ownership Conflict,Government
2444,Ownership conflict over government land against a private company filed in district court.,Ownership Conflict,Respondent
2445,Survey number mismatch over private property involving the state government filed in district court.,Land Dispute,Petitioner
2446,Boundary dispute over private property between petitioner and respondent filed in district court.,Survey Error,Petitioner
2447,Title deed forgery over agricultural land against local municipality filed in district court.,Ownership Conflict,Petitioner
2448,Survey number mismatch over residential land against a private company filed in district court.,Survey Error,Respondent
2449,Boundary dispute over residential land involving the state government filed in district court.,Survey Error,Government
2450,Ownership conflict over commercial land against a private company filed in district court.,Land Dispute,Respondent
2451,Ownership conflict over commercial land between petitioner and respondent filed in district court.,Survey Error,Petitioner
2452,Boundary dispute over commercial land between two private parties filed in district court.,Survey Error,Respondent
2453,Illegal possession over private property against local municipality filed in district court.,Survey Error,Government
2454,Survey number mismatch over private property against a private company filed in district court.,Survey Error,Petitioner
2455,Survey number mismatch over residential land against a private company filed in district court.,Ownership Conflict,Government
2456,Title deed forgery over residential land involving the state government filed in district court.,Ownership Conflict,Respondent
2457,Survey number mismatch over residential land between two private parties filed in district court.,Ownership Conflict,Petitioner
2458,Title deed forgery over government land between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
2459,Title deed forgery over commercial land between petitioner and respondent filed in district court.,Survey Error,Petitioner
2460,Illegal possession over agricultural land against a private company filed in district court.,Land Dispute,Petitioner
2461,Ownership conflict over private property between two private parties filed in district court.,Ownership Conflict,Respondent
2462,Survey number mismatch over commercial land involving the state government filed in district court.,Land Dispute,Petitioner
2463,Boundary dispute over residential land involving the state government filed in district court.,Ownership Conflict,Government
2464,Boundary dispute over government land against a private company filed in district court.,Land Dispute,Government
2465,Title deed forgery over commercial land between petitioner and respondent filed in district court.,Survey Error,Petitioner
2466,Boundary dispute over private property against local municipality filed in district court.,Ownership Conflict,Respondent
2467,Illegal possession over private property between petitioner and respondent filed in district court.,Survey Error,Petitioner
2468,Illegal possession over agricultural land involving the state government filed in district court.,Land Dispute,Respondent
2469,Title deed forgery over residential land against a private company filed in district court.,Land Dispute,Respondent
2470,Survey number mismatch over commercial land between petitioner and respondent filed in district court.,Survey Error,Petitioner
2471,Ownership conflict over government land between two private parties filed in district court.,Ownership Conflict,Government
2472,Illegal possession over residential land against a private company filed in district court.,Ownership Conflict,Petitioner
2473,Ownership conflict over government land involving the state government filed in district court.,Land Dispute,Government
2474,Boundary dispute over residential land against local municipality filed in district court.,Ownership Conflict,Government
2475,Title deed forgery over private property between petitioner and respondent filed in district court.,Survey Error,Respondent
2476,Illegal possession over agricultural land between petitioner and respondent filed in district court.,Survey Error,Respondent
2477,Title deed forgery over residential land between two private parties filed in district court.,Survey Error,Government
2478,Survey number mismatch over residential land between petitioner and respondent filed in district court.,Land Dispute,Government
2479,Boundary dispute over government land between petitioner and respondent filed in district court.,Land Dispute,Respondent
2480,Illegal possession over private property against a private company filed in district court.,Survey Error,Government
2481,Boundary dispute over government land against a private company filed in district court.,Ownership Conflict,Government
2482,Illegal possession over residential land involving the state government filed in district court.,Ownership Conflict,Respondent
2483,Survey number mismatch over residential land between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
2484,Ownership conflict over agricultural land between two private parties filed in district court.,Survey Error,Government
2485,Survey number mismatch over private property against local municipality filed in district court.,Land Dispute,Petitioner
2486,Title deed forgery over commercial land against local municipality filed in district court.,Survey Error,Petitioner
2487,Title deed forgery over commercial land between two private parties filed in district court.,Ownership Conflict,Government
2488,Boundary dispute over agricultural land involving the state government filed in district court.,Ownership Conflict,Government
2489,Survey number mismatch over commercial land between petitioner and respondent filed in district court.,Ownership Conflict,Government
2490,Ownership conflict over residential land between petitioner and respondent filed in district court.,Survey Error,Respondent
2491,Survey number mismatch over private property between two private parties filed in district court.,Survey Error,Petitioner
2492,Boundary dispute over private property involving the state government filed in district court.,Ownership Conflict,Respondent
2493,Survey number mismatch over agricultural land against local municipality filed in district court.,Land Dispute,Petitioner
2494,Boundary dispute over agricultural land involving the state government filed in district court.,Survey Error,Government
2495,Boundary dispute over commercial land involving the state government filed in district court.,Ownership Conflict,Respondent
2496,Illegal possession over commercial land against local municipality filed in district court.,Ownership Conflict,Petitioner
2497,Boundary dispute over government land against local municipality filed in district court.,Ownership Conflict,Respondent
2498,Title deed forgery over private property against a private company filed in district court.,Ownership Conflict,Petitioner
2499,Boundary dispute over agricultural land between two private parties filed in district court.,Survey Error,Government
2500,Illegal possession over private property involving the state government filed in district court.,Ownership Conflict,Government
2501,Ownership conflict over private property against local municipality filed in district court.,Survey Error,Respondent
2502,Boundary dispute over government land involving the state government filed in district court.,Survey Error,Government
2503,Survey number mismatch over residential land between two private parties filed in district court.,Land Dispute,Government
2504,Ownership conflict over government land against a private company filed in district court.,Ownership Conflict,Government
2505,Illegal possession over government land against a private company filed in district court.,Survey Error,Petitioner
2506,Boundary dispute over government land against local municipality filed in district court.,Survey Error,Government
2507,Illegal possession over residential land between petitioner and respondent filed in district court.,Land Dispute,Government
2508,Illegal possession over agricultural land against local municipality filed in district court.,Land Dispute,Government
2509,Boundary dispute over private property against a private company filed in district court.,Ownership Conflict,Respondent
2510,Illegal possession over residential land between two private parties filed in district court.,Land Dispute,Government
2511,Survey number mismatch over government land against local municipality filed in district court.,Ownership Conflict,Petitioner
2512,Title deed forgery over commercial land between petitioner and respondent filed in district court.,Survey Error,Respondent
2513,Ownership conflict over agricultural land against local municipality filed in district court.,Land Dispute,Respondent
2514,Title deed forgery over commercial land between petitioner and respondent filed in district court.,Survey Error,Respondent
2515,Survey number mismatch over private property involving the state government filed in district court.,Land Dispute,Respondent
2516,Survey number mismatch over residential land against local municipality filed in district court.,Ownership Conflict,Government
2517,Title deed forgery over residential land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
2518,Illegal possession over private property against local municipality filed in district court.,Land Dispute,Petitioner
2519,Illegal possession over private property between two private parties filed in district court.,Land Dispute,Government
2520,Boundary dispute over government land against a private company filed in district court.,Land Dispute,Government
2521,Boundary dispute over agricultural land involving the state government filed in district court.,Survey Error,Petitioner
2522,Survey number mismatch over government land between petitioner and respondent filed in district court.,Land Dispute,Respondent
2523,Survey number mismatch over commercial land against a private company filed in district court.,Land Dispute,Respondent
2524,Survey number mismatch over commercial land between two private parties filed in district court.,Survey Error,Respondent
2525,Boundary dispute over commercial land between two private parties filed in district court.,Survey Error,Government
2526,Illegal possession over private property against local municipality filed in district court.,Land Dispute,Respondent
2527,Title deed forgery over agricultural land involving the state government filed in district court.,Ownership Conflict,Petitioner
2528,Survey number mismatch over government land between two private parties filed in district court.,Survey Error,Petitioner
2529,Boundary dispute over commercial land against a private company filed in district court.,Survey Error,Petitioner
2530,Illegal possession over government land involving the state government filed in district court.,Ownership Conflict,Government
2531,Title deed forgery over residential land between two private parties filed in district court.,Ownership Conflict,Respondent
2532,Survey number mismatch over government land against local municipality filed in district court.,Survey Error,Petitioner
2533,Survey number mismatch over commercial land against local municipality filed in district court.,Ownership Conflict,Petitioner
2534,Illegal possession over government land between petitioner and respondent filed in district court.,Survey Error,Petitioner
2535,Illegal possession over commercial land involving the state government filed in district court.,Ownership Conflict,Respondent
2536,Survey number mismatch over agricultural land against local municipality filed in district court.,Land Dispute,Government
2537,Survey number mismatch over government land against a private company filed in district court.,Ownership Conflict,Government
2538,Ownership conflict over agricultural land involving the state government filed in district court.,Survey Error,Respondent
2539,Survey number mismatch over commercial land against local municipality filed in district court.,Ownership Conflict,Petitioner
2540,Ownership conflict over agricultural land against a private company filed in district court.,Land Dispute,Government
2541,Boundary dispute over government land against a private company filed in district court.,Ownership Conflict,Respondent
2542,Survey number mismatch over commercial land between petitioner and respondent filed in district court.,Ownership Conflict,Respondent
2543,Boundary dispute over residential land involving the state government filed in district court.,Ownership Conflict,Respondent
2544,Ownership conflict over agricultural land between two private parties filed in district court.,Land Dispute,Respondent
2545,Ownership conflict over government land against local municipality filed in district court.,Survey Error,Respondent
2546,Title deed forgery over commercial land between petitioner and respondent filed in district court.,Ownership Conflict,Government
2547,Ownership conflict over residential land against local municipality filed in district court.,Survey Error,Respondent
2548,Boundary dispute over residential land involving the state government filed in district court.,Survey Error,Petitioner
2549,Boundary dispute over agricultural land between petitioner and respondent filed in district court.,Land Dispute,Respondent
2550,Illegal possession over private property against local municipality filed in district court.,Land Dispute,Respondent
2551,Title deed forgery over government land against a private company filed in district court.,Survey Error,Petitioner
2552,Ownership conflict over commercial land against a private company filed in district court.,Land Dispute,Respondent
2553,Ownership conflict over agricultural land between two private parties filed in district court.,Land Dispute,Petitioner
2554,Ownership conflict over government land between petitioner and respondent filed in district court.,Survey Error,Government
2555,Boundary dispute over agricultural land between two private parties filed in district court.,Ownership Conflict,Petitioner
2556,Ownership conflict over private property against a private company filed in district court.,Survey Error,Respondent
2557,Title deed forgery over government land against local municipality filed in district court.,Survey Error,Respondent
2558,Boundary dispute over commercial land involving the state government filed in district court.,Land Dispute,Respondent
2559,Ownership conflict over private property against local municipality filed in district court.,Land Dispute,Government
2560,Boundary dispute over private property against local municipality filed in district court.,Survey Error,Government
2561,Boundary dispute over commercial land between two private parties filed in district court.,Land Dispute,Petitioner
2562,Ownership conflict over agricultural land between two private parties filed in district court.,Ownership Conflict,Respondent
2563,Ownership conflict over private property against local municipality filed in district court.,Ownership Conflict,Petitioner
2564,Title deed forgery over government land against a private company filed in district court.,Land Dispute,Petitioner
2565,Ownership conflict over agricultural land against a private company filed in district court.,Survey Error,Petitioner
2566,Survey number mismatch over residential land between two private parties filed in district court.,Survey Error,Petitioner
2567,Survey number mismatch over private property between petitioner and respondent filed in district court.,Survey Error,Government
2568,Boundary dispute over government land between petitioner and respondent filed in district court.,Survey Error,Government
2569,Survey number mismatch over government land involving the state government filed in district court.,Ownership Conflict,Respondent
2570,Survey number mismatch over residential land against a private company filed in district court.,Survey Error,Government
2571,Title deed forgery over commercial land between two private parties filed in district court.,Survey Error,Government
2572,Survey number mismatch over commercial land between two private parties filed in district court.,Land Dispute,Respondent
2573,Survey number mismatch over residential land between petitioner and respondent filed in district court.,Survey Error,Petitioner
2574,Boundary dispute over agricultural land between petitioner and respondent filed in district court.,Ownership Conflict,Government
2575,Boundary dispute over commercial land against local municipality filed in district court.,Ownership Conflict,Government
2576,Survey number mismatch over government land involving the state government filed in district court.,Survey Error,Petitioner
2577,Title deed forgery over agricultural land against a private company filed in district court.,Land Dispute,Respondent
2578,Boundary dispute over agricultural land between two private parties filed in district court.,Survey Error,Petitioner
2579,Title deed forgery over private property between two private parties filed in district court.,Land Dispute,Respondent
2580,Ownership conflict over private property between two private parties filed in district court.,Ownership Conflict,Petitioner
2581,Ownership conflict over government land against local municipality filed in district court.,Survey Error,Respondent
2582,Survey number mismatch over agricultural land against local municipality filed in district court.,Survey Error,Respondent
2583,Ownership conflict over residential land against a private company filed in district court.,Survey Error,Respondent
2584,Illegal possession over commercial land against a private company filed in district court.,Land Dispute,Petitioner
2585,Illegal possession over residential land against a private company filed in district court.,Land Dispute,Respondent
2586,Survey number mismatch over government land against a private company filed in district court.,Survey Error,Petitioner
2587,Survey number mismatch over residential land involving the state government filed in district court.,Survey Error,Government
2588,Illegal possession over agricultural land against a private company filed in district court.,Land Dispute,Petitioner
2589,Title deed forgery over private property against a private company filed in district court.,Land Dispute,Petitioner
2590,Ownership conflict over commercial land between two private parties filed in district court.,Land Dispute,Respondent
2591,Illegal possession over government land involving the state government filed in district court.,Survey Error,Petitioner
2592,Ownership conflict over agricultural land between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
2593,Ownership conflict over residential land against local municipality filed in district court.,Land Dispute,Petitioner
2594,Survey number mismatch over residential land between petitioner and respondent filed in district court.,Ownership Conflict,Government
2595,Ownership conflict over commercial land between two private parties filed in district court.,Survey Error,Government
2596,Survey number mismatch over private property against local municipality filed in district court.,Ownership Conflict,Respondent
2597,Title deed forgery over private property against a private company filed in district court.,Land Dispute,Respondent
2598,Title deed forgery over agricultural land between two private parties filed in district court.,Land Dispute,Petitioner
2599,Boundary dispute over residential land against local municipality filed in district court.,Ownership Conflict,Government
2600,Survey number mismatch over private property against local municipality filed in district court.,Survey Error,Government
2601,Ownership conflict over residential land involving the state government filed in district court.,Ownership Conflict,Government
2602,Illegal possession over commercial land against local municipality filed in district court.,Survey Error,Respondent
2603,Ownership conflict over commercial land between two private parties filed in district court.,Land Dispute,Petitioner
2604,Title deed forgery over agricultural land between two private parties filed in district court.,Survey Error,Government
2605,Ownership conflict over private property against local municipality filed in district court.,Land Dispute,Government
2606,Survey number mismatch over agricultural land against local municipality filed in district court.,Ownership Conflict,Government
2607,Illegal possession over residential land against a private company filed in district court.,Survey Error,Petitioner
2608,Illegal possession over private property between petitioner and respondent filed in district court.,Ownership Conflict,Government
2609,Ownership conflict over government land against local municipality filed in district court.,Survey Error,Respondent
2610,Illegal possession over commercial land against local municipality filed in district court.,Ownership Conflict,Government
2611,Ownership conflict over residential land against local municipality filed in district court.,Ownership Conflict,Petitioner
2612,Boundary dispute over commercial land between two private parties filed in district court.,Survey Error,Respondent
2613,Title deed forgery over private property involving the state government filed in district court.,Land Dispute,Respondent
2614,Survey number mismatch over commercial land against local municipality filed in district court.,Survey Error,Petitioner
2615,Survey number mismatch over government land against local municipality filed in district court.,Land Dispute,Government
2616,Survey number mismatch over residential land between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
2617,Survey number mismatch over agricultural land against local municipality filed in district court.,Land Dispute,Government
2618,Title deed forgery over commercial land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
2619,Ownership conflict over residential land between two private parties filed in district court.,Land Dispute,Respondent
2620,Survey number mismatch over residential land against local municipality filed in district court.,Ownership Conflict,Petitioner
2621,Survey number mismatch over government land against local municipality filed in district court.,Land Dispute,Government
2622,Survey number mismatch over commercial land against local municipality filed in district court.,Land Dispute,Government
2623,Title deed forgery over residential land between two private parties filed in district court.,Land Dispute,Government
2624,Survey number mismatch over commercial land against a private company filed in district court.,Land Dispute,Petitioner
2625,Title deed forgery over private property between two private parties filed in district court.,Ownership Conflict,Petitioner
2626,Title deed forgery over government land between two private parties filed in district court.,Ownership Conflict,Respondent
2627,Survey number mismatch over commercial land involving the state government filed in district court.,Survey Error,Government
2628,Title deed forgery over residential land against a private company filed in district court.,Land Dispute,Petitioner
2629,Survey number mismatch over residential land between two private parties filed in district court.,Survey Error,Petitioner
2630,Survey number mismatch over private property between petitioner and respondent filed in district court.,Land Dispute,Government
2631,Survey number mismatch over government land between two private parties filed in district court.,Survey Error,Petitioner
2632,Title deed forgery over private property involving the state government filed in district court.,Survey Error,Respondent
2633,Survey number mismatch over residential land between two private parties filed in district court.,Survey Error,Petitioner
2634,Title deed forgery over commercial land between two private parties filed in district court.,Survey Error,Petitioner
2635,Illegal possession over private property involving the state government filed in district court.,Ownership Conflict,Petitioner
2636,Ownership conflict over private property between two private parties filed in district court.,Ownership Conflict,Petitioner
2637,Ownership conflict over residential land against a private company filed in district court.,Survey Error,Government
2638,Boundary dispute over government land against local municipality filed in district court.,Ownership Conflict,Government
2639,Boundary dispute over agricultural land involving the state government filed in district court.,Survey Error,Petitioner
2640,Title deed forgery over government land involving the state government filed in district court.,Survey Error,Government
2641,Title deed forgery over government land between petitioner and respondent filed in district court.,Survey Error,Government
2642,Illegal possession over government land between two private parties filed in district court.,Survey Error,Government
2643,Ownership conflict over commercial land between petitioner and respondent filed in district court.,Survey Error,Government
2644,Ownership conflict over private property involving the state government filed in district court.,Land Dispute,Respondent
2645,Title deed forgery over commercial land against a private company filed in district court.,Land Dispute,Respondent
2646,Title deed forgery over residential land involving the state government filed in district court.,Land Dispute,Petitioner
2647,Ownership conflict over private property against a private company filed in district court.,Land Dispute,Respondent
2648,Ownership conflict over residential land between petitioner and respondent filed in district court.,Ownership Conflict,Respondent
2649,Ownership conflict over private property against a private company filed in district court.,Ownership Conflict,Government
2650,Boundary dispute over residential land between two private parties filed in district court.,Land Dispute,Petitioner
2651,Boundary dispute over private property against a private company filed in district court.,Survey Error,Government
2652,Boundary dispute over commercial land involving the state government filed in district court.,Ownership Conflict,Respondent
2653,Title deed forgery over commercial land between petitioner and respondent filed in district court.,Ownership Conflict,Government
2654,Illegal possession over private property between petitioner and respondent filed in district court.,Ownership Conflict,Respondent
2655,Boundary dispute over agricultural land between petitioner and respondent filed in district court.,Ownership Conflict,Respondent
2656,Illegal possession over government land between petitioner and respondent filed in district court.,Ownership Conflict,Government
2657,Boundary dispute over agricultural land between two private parties filed in district court.,Ownership Conflict,Respondent
2658,Illegal possession over agricultural land between two private parties filed in district court.,Survey Error,Government
2659,Illegal possession over agricultural land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
2660,Title deed forgery over agricultural land involving the state government filed in district court.,Survey Error,Respondent
2661,Illegal possession over commercial land between two private parties filed in district court.,Survey Error,Petitioner
2662,Title deed forgery over agricultural land between petitioner and respondent filed in district court.,Land Dispute,Respondent
2663,Illegal possession over agricultural land against a private company filed in district court.,Ownership Conflict,Petitioner
2664,Illegal possession over agricultural land between petitioner and respondent filed in district court.,Ownership Conflict,Petitioner
2665,Title deed forgery over private property involving the state government filed in district court.,Land Dispute,Respondent
2666,Survey number mismatch over government land between two private parties filed in district court.,Ownership Conflict,Government
2667,Boundary dispute over government land between petitioner and respondent filed in district court.,Survey Error,Petitioner
2668,Survey number mismatch over government land between petitioner and respondent filed in district court.,Land Dispute,Petitioner
2669,Survey number mismatch over private property between two private parties filed in district court.,Ownership Conflict,Respondent
2670,Ownership conflict over residential land against local municipality filed in district court.,Ownership Conflict,Respondent
2671,Ownership conflict over private property involving the state government filed in district court.,Survey Error,Petitioner
2672,Ownership conflict over government land between two private parties filed in district court.,Ownership Conflict,Government
2673,Illegal possession over residential land between petitioner and respondent filed in district court.,Survey Error,Government
2674,Ownership conflict over private property involving the state government filed in district court.,Land Dispute,Petitioner
2675,Boundary dispute over private property between petitioner and respondent filed in district court.,Survey Error,Respondent
2676,Survey number mismatch over private property involving the state government filed in district court.,Survey Error,Government
2677,Boundary dispute over residential land between two private parties filed in district court.,Ownership Conflict,Government
2678,Boundary dispute over government land between petitioner and respondent filed in district court.,Land Dispute,Respondent
2679,Illegal possession over private property involving the state government filed in district court.,Ownership Conflict,Petitioner
2680,Illegal possession over commercial land between two private parties filed in district court.,Ownership Conflict,Respondent
2681,Ownership conflict over residential land involving the state government filed in district court.,Survey Error,Respondent
2682,Survey number mismatch over commercial land against local municipality filed in district court.,Survey Error,Petitioner
2683,Ownership conflict over commercial land against local municipality filed in district court.,Land Dispute,Government
2684,Title deed forgery over residential land against a private company filed in district court.,Land Dispute,Respondent
2685,Boundary dispute over agricultural land between two private parties filed in district court.,Ownership Conflict,Petitioner
2686,Survey number mismatch over residential land involving the state government filed in district court.,Land Dispute,Petitioner
2687,Ownership conflict over agricultural land between petitioner and respondent filed in district court.,Survey Error,Government
2688,Illegal possession over agricultural land between two private parties filed in district court.,Survey Error,Respondent
2689,Survey number mismatch over residential land involving the state government filed in district court.,Ownership Conflict,Petitioner
2690,Illegal possession over residential land against a private company filed in district court.,Land Dispute,Respondent
2691,Survey number mismatch over private property against a private company filed in district court.,Land Dispute,Government
2692,Ownership conflict over private property against local municipality filed in district court.,Land Dispute,Petitioner
2693,Illegal possession over government land against local municipality filed in district court.,Ownership Conflict,Petitioner
2694,Survey number mismatch over agricultural land between two private parties filed in district court.,Ownership Conflict,Respondent
2695,Ownership conflict over agricultural land involving the state government filed in district court.,Survey Error,Respondent
2696,Survey number mismatch over commercial land against local municipality filed in district court.,Land Dispute,Petitioner
2697,Survey number mismatch over commercial land against local municipality filed in district court.,Land Dispute,Petitioner
2698,Ownership conflict over residential land involving the state government filed in district court.,Ownership Conflict,Government
2699,Ownership conflict over commercial land involving the state government filed in district court.,Land Dispute,Government
2700,Ownership conflict over private property between two private parties filed in district court.,Land Dispute,Government
2701,Ownership conflict over residential land between two private parties filed in district court.,Ownership Conflict,Government
2702,Title deed forgery over residential land between two private parties filed in district court.,Ownership Conflict,Government
2703,Title deed forgery over private property against a private company filed in district court.,Survey Error,Government
2704,Survey number mismatch over agricultural land between petitioner and respondent filed in district court.,Ownership Conflict,Government
2705,Title deed forgery over private property between two private parties filed in district court.,Land Dispute,Government
2706,Boundary dispute over agricultural land between two private parties filed in district court.,Ownership Conflict,Petitioner
2707,Boundary dispute over government land against local municipality filed in district court.,Survey Error,Petitioner
2708,Illegal possession over government land between two private parties filed in district court.,Ownership Conflict,Government
2709,Ownership conflict over residential land against local municipality filed in district court.,Ownership Conflict,Government
2710,Illegal possession over agricultural land against a private company filed in district court.,Land Dispute,Respondent
2711,Ownership conflict over government land against local municipality filed in district court.,Survey Error,Government
2712,Survey number mismatch over government land against a private company filed in district court.,Ownership Conflict,Respondent
2713,Title deed forgery over commercial land against local municipality filed in district court.,Survey Error,Respondent
2714,Ownership conflict over agricultural land against a private company filed in district court.,Ownership Conflict,Petitioner
2715,Illegal possession over agricultural land between two private parties filed in district court.,Survey Error,Government
2716,Survey number mismatch over agricultural land against local municipality filed in district court.,Ownership Conflict,Government
2717,Illegal possession over commercial land involving the state government filed in district court.,Survey Error,Government
2718,Illegal possession over private property against local municipality filed in district court.,Survey Error,Petitioner
2719,Title deed forgery over government land against local municipality filed in district court.,Land Dispute,Respondent
2720,Boundary dispute over agricultural land between petitioner and respondent filed in district court.,Survey Error,Petitioner
2721,Illegal possession over commercial land involving the state government filed in district court.,Survey Error,Respondent
2722,Boundary dispute over agricultural land involving the state government filed in district court.,Ownership Conflict,Petitioner
2723,Boundary dispute over government land involving the state government filed in district court.,Land Dispute,Respondent
2724,Illegal possession over private property against a private company filed in district court.,Ownership Conflict,Respondent
2725,Illegal possession over agricultural land between two private parties filed in district court.,Ownership Conflict,Petitioner
2726,Survey number mismatch over commercial land against a private company filed in district court.,Survey Error,Government
2727,Boundary dispute over government land against local municipality filed in district court.,Ownership Conflict,Petitioner
